file_size_mb,total_elements,max_depth,processor_cores,best_parser,parsing_time,memory_usage,efficiency_score
479.09,52000,47,4,4,0.9206,527.0,1.86
60.62,74187,4,6,4,0.7608,66.68,13.28
216.82,47482,42,8,4,0.8304,238.5,4.04
241.8,57101,48,12,1,0.9829,120.9,7.59
305.2,49684,23,2,1,1.2327,152.6,6.03
440.07,72858,2,12,2,2.0085,352.06,2.68
245.46,2270,7,6,2,1.3914,196.37,4.73
372.99,43367,24,16,4,1.4288,410.29,2.35
345.11,25115,15,16,2,0.7435,276.09,3.51
113.82,23529,21,2,4,0.9749,125.2,7.36
376.42,13456,2,12,2,0.5194,301.14,3.25
32.77,64464,6,12,4,0.2218,36.05,25.47
382.25,79481,40,12,4,0.4928,420.48,2.35
310.55,79915,49,2,1,0.2426,155.28,6.3
1.44,59058,46,12,1,0.5435,0.72,139.76
132.35,81937,39,16,4,0.2562,145.59,6.7
29.91,40329,40,16,3,0.8648,38.88,20.61
136.2,70786,33,8,1,1.9276,68.1,11.32
418.0,75402,39,2,4,0.9947,459.8,2.12
458.04,23798,39,8,4,1.2937,503.84,1.93
164.97,90931,33,6,1,0.3203,82.48,11.54
386.3,67459,2,16,2,1.4377,309.04,3.08
25.9,35013,37,4,4,0.9329,28.49,25.76
119.72,20768,21,12,4,0.9892,131.69,7.01
77.07,93936,20,12,1,0.4622,38.53,22.65
299.73,97828,10,2,2,0.9919,239.78,3.99
149.35,76941,39,16,4,0.7102,164.28,5.8
160.96,24737,46,4,1,1.6417,80.48,10.21
193.1,87001,43,4,4,0.6884,212.41,4.54
263.02,59900,2,16,2,1.9451,210.42,4.33
198.8,10537,23,16,4,0.1021,218.68,4.53
34.3,82737,45,6,4,0.6933,37.73,21.9
347.03,3804,4,6,2,2.4191,277.62,3.3
85.07,10360,41,8,4,0.4183,93.58,10.13
127.74,1241,31,6,4,0.6652,140.51,6.75
125.12,39609,14,8,4,0.0818,137.63,7.17
415.04,51889,19,2,1,1.8179,207.52,4.41
143.17,30172,40,6,4,0.2483,157.49,6.21
48.67,82252,43,2,1,1.5202,24.34,24.67
87.9,17332,36,6,1,1.0155,43.95,18.15
403.26,97863,23,2,1,0.8551,201.63,4.74
422.89,73058,25,2,4,0.8976,465.18,2.1
411.23,48699,8,16,2,0.377,328.98,3.0
411.95,91901,21,16,1,1.7858,205.97,4.45
67.92,59469,25,16,4,0.9996,74.71,11.67
416.86,80704,28,6,2,2.1199,333.49,2.81
272.28,84528,24,2,4,0.9805,299.51,3.22
298.61,2809,5,6,2,0.8047,238.89,4.03
434.86,43074,11,12,2,2.051,347.89,2.71
12.99,1957,24,4,4,0.2148,14.29,57.35
31.87,58766,25,12,4,1.0054,35.06,21.69
150.89,84333,3,2,4,1.3539,165.98,5.54
161.12,19452,6,4,1,0.9621,80.56,10.97
302.75,13009,46,2,1,0.5341,151.38,6.34
169.53,59451,27,8,4,0.7377,186.48,5.13
45.7,11198,7,8,4,0.8643,50.27,16.69
164.89,16031,28,6,1,0.6937,82.44,11.06
51.89,66517,15,4,4,0.8824,57.08,14.95
403.63,73536,41,12,1,0.6192,201.81,4.78
381.23,44551,24,2,4,0.183,419.35,2.37
265.29,49318,28,8,1,0.2,132.65,7.37
78.79,80991,5,16,1,1.0735,39.4,19.56
172.65,14544,20,16,1,0.1146,86.33,11.3
150.78,27696,10,6,4,0.3837,165.86,5.86
279.41,87572,24,2,1,0.9156,139.71,6.67
202.27,83914,28,6,4,1.3837,222.5,4.21
44.16,13885,17,8,4,0.5329,48.58,18.21
84.15,66920,42,2,1,0.3806,42.08,21.33
51.49,33560,14,4,4,0.7665,56.64,15.31
377.25,99608,39,8,4,0.5084,414.98,2.37
219.94,61472,30,16,4,0.1325,241.93,4.09
415.87,10067,43,2,4,0.7021,457.46,2.15
404.93,85447,14,6,2,2.9507,323.94,2.82
42.26,84699,13,2,1,0.6375,21.13,35.08
204.44,44360,45,12,4,0.4154,224.88,4.35
425.8,79007,11,6,2,0.5611,340.64,2.88
354.45,11114,21,12,1,1.4023,177.22,5.2
263.24,84685,44,8,4,0.3284,289.56,3.4
499.99,20318,6,6,2,1.1429,399.99,2.42
383.18,17186,40,8,4,0.1134,421.5,2.36
182.21,94327,17,8,4,1.1873,200.43,4.69
452.0,25440,25,16,4,1.4511,497.2,1.95
408.46,79264,10,6,2,0.5491,326.77,3.0
42.03,21022,19,8,3,0.9571,54.64,15.33
174.86,3505,28,2,1,0.2883,87.43,10.95
357.38,43957,11,4,2,1.923,285.9,3.27
452.94,2500,18,4,1,0.6722,226.47,4.27
23.97,55037,42,12,1,0.5597,11.98,53.83
71.87,56271,2,12,4,1.4324,79.06,10.6
272.09,66545,37,2,1,1.5982,136.04,6.54
172.47,96078,44,16,1,1.3213,86.23,9.96
415.21,89752,31,16,2,0.7645,332.17,2.93
395.58,5502,22,6,1,0.7783,197.79,4.84
390.44,85958,23,6,1,1.9501,195.22,4.64
248.15,65221,25,12,1,0.6582,124.08,7.6
51.39,42991,44,6,3,0.1805,66.81,14.36
435.03,46220,41,8,1,1.6221,217.51,4.26
339.74,4091,11,12,2,2.8585,271.79,3.32
16.29,20121,45,8,3,0.8563,21.18,32.53
324.82,32727,9,2,2,1.4496,259.86,3.63
498.18,37441,46,8,4,1.2252,548.0,1.78
483.78,41899,44,6,4,1.0653,532.16,1.84
87.13,47391,34,4,3,1.1526,113.27,7.95
184.52,72315,10,12,2,1.3464,147.62,6.17
287.49,16436,22,16,4,0.9023,316.24,3.07
383.91,16922,29,12,4,1.0785,422.3,2.3
173.08,68022,20,2,1,1.0549,86.54,10.19
84.4,76116,11,4,4,0.0911,92.84,10.55
22.83,84086,38,6,4,0.47,25.11,32.46
478.33,63310,17,16,1,0.7464,239.16,4.04
71.92,94167,22,16,1,0.5593,35.96,23.5
61.35,58939,17,4,4,0.2816,67.49,14.02
163.79,75728,48,6,1,0.2711,81.89,11.68
196.68,59940,17,4,4,0.4643,216.35,4.5
4.19,14099,29,4,0,0.2894,10.48,69.57
97.41,72522,20,2,4,0.2366,107.15,9.05
48.43,48925,23,12,3,0.1861,62.96,15.19
68.6,43662,32,12,4,0.2856,75.46,12.61
495.31,96914,21,12,4,0.5841,544.84,1.81
336.94,54606,39,6,4,1.1852,370.63,2.61
388.1,75721,16,16,1,1.6612,194.05,4.72
121.17,75057,46,2,4,0.9366,133.29,6.96
235.86,96457,48,2,1,1.9177,117.93,7.24
229.89,69888,23,12,1,0.4653,114.94,8.29
123.33,73159,21,4,1,1.0116,61.66,13.74
280.29,94599,19,6,4,1.2167,308.32,3.11
145.3,37710,47,2,4,1.4029,159.83,5.72
348.12,18002,8,12,2,0.4806,278.5,3.52
165.21,61928,8,16,4,1.3237,181.73,5.1
238.78,26153,50,6,1,1.4739,119.39,7.4
468.34,22956,28,4,1,1.7574,234.17,3.96
144.8,4920,2,6,1,1.0384,72.4,11.94
469.29,66098,31,6,4,1.1181,516.22,1.89
395.4,74430,45,4,1,1.3716,197.7,4.71
92.47,18440,32,6,3,0.7263,120.21,7.78
291.27,75098,2,6,2,1.6071,233.02,4.0
447.57,92226,21,16,1,0.3911,223.78,4.37
373.89,79405,25,8,4,1.0365,411.28,2.37
297.95,10740,35,8,1,0.4841,148.97,6.46
268.38,21576,22,12,1,0.2057,134.19,7.29
66.06,54460,31,12,4,1.1314,72.67,11.77
289.2,5946,29,6,4,0.4663,318.12,3.09
90.07,17760,43,16,4,1.3648,99.08,8.79
187.89,89496,44,12,2,2.9404,150.31,5.53
417.43,99123,3,6,2,0.6343,333.94,2.93
94.32,95040,50,2,1,0.2279,47.16,19.83
297.01,58525,40,16,1,1.7411,148.5,5.99
28.32,66056,20,4,4,0.4876,31.15,27.01
71.72,86545,35,4,1,1.3896,35.86,19.7
277.97,6155,24,16,4,1.1439,305.77,3.14
236.81,29546,21,16,4,0.6132,260.49,3.74
127.57,43298,43,2,4,1.0268,140.33,6.6
301.5,9549,14,12,2,0.2429,241.2,4.09
468.59,97196,9,16,2,1.7458,374.87,2.54
387.78,49904,31,12,4,1.0975,426.56,2.28
380.84,41983,15,6,2,1.8353,304.67,3.09
360.03,38701,11,4,2,0.9205,288.02,3.35
410.81,94848,43,16,1,1.8421,205.41,4.45
271.11,84133,5,12,2,2.5591,216.89,4.11
115.79,92700,11,2,4,1.006,127.37,7.22
7.96,69768,37,8,4,1.0273,8.76,49.92
403.1,23506,8,2,2,0.4213,322.48,3.05
479.65,60171,38,4,4,1.1514,527.62,1.85
46.84,49720,26,12,4,0.9851,51.52,16.03
165.7,12509,35,2,4,1.0424,182.27,5.16
140.26,71186,38,16,4,1.0834,154.29,6.02
199.21,10094,21,4,1,1.5055,99.61,8.65
395.27,90359,48,2,4,1.1651,434.8,2.23
477.43,52006,22,2,1,0.4529,238.72,4.09
292.98,49826,7,12,2,0.632,234.38,4.14
194.87,47287,8,2,2,1.4568,155.9,5.83
277.41,53493,8,2,2,1.3587,221.93,4.23
389.61,95016,37,4,4,0.1417,428.57,2.32
217.39,55204,21,8,1,0.9699,108.69,8.38
67.83,897,27,6,3,1.6647,88.18,9.45
325.55,77918,10,6,2,1.0161,260.44,3.68
347.51,64367,38,4,1,1.9948,173.75,5.14
90.05,72112,3,16,4,1.2037,99.06,8.92
204.63,65454,10,16,2,1.8742,163.7,5.45
291.16,70050,34,16,1,1.8374,145.58,6.06
54.77,32546,44,16,3,0.8593,71.2,12.38
376.37,56430,8,2,2,1.2475,301.1,3.18
231.59,89080,39,16,4,0.2183,254.75,3.88
470.34,18579,24,6,4,0.706,517.37,1.9
33.68,5866,47,2,4,1.1237,37.05,20.29
258.05,72349,12,6,2,1.41,206.44,4.51
14.69,80502,14,8,4,0.1407,16.16,53.86
50.97,70381,13,6,4,0.9156,56.07,15.1
305.69,76949,9,6,2,1.8525,244.55,3.79
336.09,41059,9,4,2,1.2744,268.87,3.54
92.96,83306,36,16,4,1.2709,102.26,8.62
309.74,47069,2,8,2,1.3638,247.79,3.81
419.96,64064,12,2,2,2.3861,335.97,2.77
282.87,64931,37,12,4,0.1103,311.16,3.19
359.52,71621,15,8,2,1.176,287.62,3.33
408.38,57559,9,4,2,1.9252,326.7,2.88
392.45,27134,5,12,2,0.9486,313.96,3.08
429.02,89047,8,4,2,2.625,343.22,2.7
124.91,93253,22,4,1,0.9588,62.45,13.69
316.85,12212,27,12,1,1.7509,158.43,5.65
423.6,12218,48,8,4,1.246,465.96,2.09
247.41,42328,20,6,1,0.1873,123.7,7.9
313.13,60248,3,2,2,2.7463,250.5,3.58
441.09,39576,12,6,2,1.9517,352.87,2.68
363.02,98999,16,8,4,1.036,399.32,2.43
4.74,91183,23,2,4,0.1985,5.21,122.03
156.74,39233,10,8,4,0.0623,172.41,5.75
325.05,57694,24,16,1,1.8035,162.53,5.51
70.09,16152,39,16,1,0.2601,35.05,25.87
276.74,78654,48,12,2,1.8994,221.39,4.14
94.4,51357,20,16,1,1.2285,47.2,16.53
264.19,1591,25,6,4,1.434,290.61,3.27
385.21,2197,39,2,1,1.454,192.6,4.8
383.58,55528,46,8,1,0.4861,191.79,5.06
404.05,70315,22,8,1,1.9115,202.03,4.5
119.39,32054,7,8,4,0.0684,131.33,7.52
68.69,1497,12,8,3,0.3412,89.3,10.67
390.58,35237,48,2,1,1.1956,195.29,4.8
38.63,59673,34,6,4,1.0275,42.49,18.6
57.76,97105,34,2,1,1.8692,28.88,20.59
428.76,72475,47,16,4,0.8787,471.64,2.08
59.79,88264,5,4,4,1.1716,65.77,12.74
155.42,11332,37,8,1,1.2242,77.71,10.99
246.73,25624,48,12,4,1.2674,271.4,3.51
438.61,43921,2,16,2,2.8913,350.89,2.63
486.28,18671,47,6,1,1.9517,243.14,3.79
42.54,12537,34,4,4,0.2395,46.79,19.93
145.91,41298,27,16,1,1.5633,72.95,11.16
54.58,13858,12,8,3,0.6858,70.95,12.69
132.58,15727,7,4,4,0.2651,145.84,6.69
355.61,46637,27,12,4,0.8561,391.17,2.5
275.11,12425,31,2,2,2.5063,220.09,4.06
186.18,82624,43,2,4,0.693,204.8,4.7
64.48,43466,9,2,4,0.7694,70.93,12.56
191.43,55933,13,6,2,0.8882,153.14,6.13
147.62,54010,37,8,4,0.9646,162.38,5.78
401.1,2569,26,16,1,0.4417,200.55,4.86
159.51,28717,3,6,4,0.1952,175.46,5.61
328.47,34944,36,16,4,1.2669,361.32,2.67
422.63,23091,17,12,1,1.1785,211.31,4.46
71.14,24682,33,12,1,1.1003,35.57,21.02
0.44,80505,14,4,1,1.4389,0.22,64.07
70.91,14548,35,6,2,1.0449,56.73,14.67
68.31,20654,48,8,4,1.0557,75.14,11.53
464.43,46779,16,16,4,1.4257,510.87,1.9
474.35,51337,38,2,1,1.0428,237.18,4.02
165.65,10208,17,6,1,1.7846,82.83,9.84
223.37,34771,15,4,2,1.375,178.7,5.17
83.25,54276,33,8,1,0.5286,41.62,20.87
225.7,4389,20,2,4,0.8432,248.27,3.88
449.07,12213,23,12,1,0.925,224.53,4.26
26.87,43407,15,4,4,0.4812,29.56,28.27
48.05,51508,38,12,4,0.9203,52.86,15.86
99.92,3383,15,4,1,0.9948,49.96,16.42
447.45,34744,7,16,2,1.5022,357.96,2.67
113.2,35210,38,2,4,1.1469,124.52,7.3
113.83,8003,26,12,1,0.25,56.91,16.55
451.4,93635,4,12,2,1.4573,361.12,2.65
474.54,21920,15,4,2,2.5355,379.63,2.46
129.02,95312,6,2,4,1.1905,141.92,6.46
311.57,68503,28,2,4,0.8659,342.73,2.84
50.59,37508,36,6,3,0.4272,65.77,14.08
201.55,81044,40,16,1,1.8496,100.78,8.31
448.53,2661,23,6,1,0.6709,224.26,4.31
371.89,42066,19,16,4,1.1513,409.08,2.37
433.61,7377,34,4,4,0.3019,476.97,2.08
437.6,26319,5,4,2,1.3114,350.08,2.75
461.54,89292,3,4,2,0.6578,369.23,2.65
447.26,98177,46,2,4,0.9887,491.99,1.99
338.88,35279,43,8,1,0.4291,169.44,5.72
400.45,29339,18,12,1,0.7625,200.22,4.79
126.07,61181,21,16,4,1.2671,138.68,6.56
280.77,77836,40,6,4,0.4287,308.85,3.18
355.58,85399,21,4,1,1.355,177.79,5.2
340.41,94550,3,16,2,2.9853,272.33,3.3
408.03,44989,48,16,1,1.7063,204.01,4.5
420.34,73180,13,6,2,2.1032,336.27,2.79
167.88,11714,16,6,4,0.7225,184.67,5.18
58.98,7045,42,12,1,1.3933,29.49,22.51
264.97,54156,5,4,2,1.0859,211.98,4.47
357.86,10602,33,6,4,0.2945,393.65,2.52
382.27,64179,50,2,1,1.1142,191.13,4.92
365.36,1855,22,12,1,0.345,182.68,5.34
191.84,77168,21,4,1,0.924,95.92,9.42
343.42,17546,23,8,1,1.4816,171.71,5.33
65.69,96226,3,12,1,1.5654,32.84,20.2
311.61,77856,5,16,2,0.9077,249.29,3.86
350.96,26944,46,16,1,0.3606,175.48,5.55
415.34,13761,34,16,1,1.6798,207.67,4.44
486.56,46923,47,8,1,0.1052,243.28,4.08
335.85,14484,38,16,4,0.9843,369.44,2.63
228.43,38810,18,8,1,0.9094,114.22,8.04
58.04,99389,4,2,4,1.3238,63.84,12.81
46.57,44931,13,2,4,1.2099,51.23,15.55
324.46,21870,9,4,2,2.4463,259.57,3.51
339.23,23768,41,8,4,0.7505,373.15,2.62
244.11,53917,30,2,4,1.0995,268.52,3.56
112.07,87807,23,12,4,1.0306,123.28,7.43
192.5,73193,41,2,1,1.5277,96.25,8.89
160.38,43381,19,2,4,0.8809,176.42,5.37
44.1,65343,30,6,1,0.1003,22.05,41.57
45.54,79204,41,16,4,0.1287,50.09,19.09
111.54,59576,23,12,1,1.3519,55.77,14.23
1.2,46558,42,6,3,1.6615,1.56,52.15
371.28,53646,8,6,2,2.207,297.02,3.12
53.97,54335,4,16,4,0.2452,59.37,15.92
249.46,69525,49,2,4,1.0531,274.41,3.5
86.91,16837,8,8,3,1.2571,112.98,7.9
346.29,32547,19,8,4,1.1352,380.92,2.54
149.53,91956,37,6,1,0.7561,74.77,12.0
336.22,93123,43,4,4,0.8774,369.84,2.63
333.61,54729,45,16,1,0.8237,166.81,5.68
26.63,7429,14,6,4,1.0514,29.29,24.51
147.64,98785,36,2,1,1.3295,73.82,11.35
194.5,66977,46,6,4,1.4505,213.95,4.36
27.0,97484,18,4,1,1.3305,13.5,35.96
377.58,71655,49,12,1,1.9287,188.79,4.78
367.57,15653,26,2,4,1.079,404.33,2.4
77.49,20156,22,12,1,1.1881,38.74,19.37
179.11,92767,22,12,4,0.1833,197.02,5.0
110.68,27974,44,6,1,1.5291,55.34,13.96
324.69,15046,44,6,4,0.5154,357.16,2.75
457.97,14870,26,6,1,0.9466,228.99,4.18
22.02,85407,14,6,1,0.2244,11.01,70.16
335.2,27951,45,8,1,1.6518,167.6,5.4
36.15,89931,11,2,4,0.8837,39.77,20.16
113.9,33911,28,8,1,1.4685,56.95,13.77
31.71,97783,39,2,1,0.2644,15.86,51.27
382.66,57377,26,8,4,1.2817,420.93,2.3
147.56,83115,11,6,4,0.8526,162.32,5.82
277.58,16162,4,2,2,2.2326,222.06,4.08
105.95,84673,34,4,1,1.7193,52.98,14.05
425.71,71949,31,16,4,0.5297,468.28,2.11
64.19,85924,17,2,4,1.0555,70.61,12.17
76.28,74309,25,6,4,0.4512,83.91,11.18
179.81,89083,48,6,1,1.2526,89.91,9.67
420.91,18360,36,4,4,0.0952,463.0,2.15
290.99,53111,39,4,4,0.5804,320.09,3.06
111.73,77290,48,6,4,1.4478,122.9,7.23
490.93,89684,12,12,2,2.2496,392.74,2.4
469.59,5307,16,8,4,0.6127,516.55,1.91
458.96,6096,4,16,2,1.7242,367.17,2.59
87.01,85688,26,6,4,0.6385,95.71,9.7
408.64,45234,33,8,1,0.6335,204.32,4.72
75.21,20635,25,12,3,1.0149,97.77,9.18
239.46,27627,39,4,1,1.074,119.73,7.61
445.41,19259,5,4,2,2.2147,356.33,2.64
330.91,37162,7,4,2,2.4249,264.73,3.45
410.24,23849,41,16,1,0.8186,205.12,4.67
66.19,2180,14,12,1,1.0042,33.09,22.66
307.41,5126,36,12,1,1.8817,153.71,5.76
339.31,56567,35,8,4,0.6028,373.24,2.63
294.57,97185,50,16,2,1.8752,235.66,3.92
271.91,33801,14,2,2,2.1257,217.53,4.17
158.02,47493,8,4,4,1.4881,173.82,5.27
198.79,26708,28,12,1,0.7543,99.39,9.27
352.78,96450,10,16,2,2.401,282.22,3.25
400.45,80491,46,16,1,1.8591,200.22,4.55
217.75,8409,18,4,1,0.6443,108.88,8.6
481.77,7541,13,16,2,2.3951,385.42,2.44
255.32,91557,16,12,4,1.1805,280.85,3.41
176.63,51802,27,12,4,0.8607,194.29,4.9
291.51,45554,19,4,1,0.3023,145.75,6.68
36.29,38578,23,2,3,1.419,47.18,16.03
483.03,73825,32,4,1,0.3209,241.51,4.07
33.87,83065,16,16,4,0.4319,37.26,23.49
143.72,52298,45,16,1,0.6112,71.86,12.66
473.56,89546,14,8,2,2.5417,378.85,2.47
178.08,13993,9,2,2,1.5504,142.46,6.29
310.37,64542,38,6,1,0.2029,155.19,6.32
399.66,62704,36,2,4,0.7171,439.63,2.23
344.64,1559,45,4,2,0.9543,275.71,3.49
479.27,44980,25,4,1,0.4418,239.63,4.08
65.66,75493,45,4,1,1.6201,32.83,19.99
369.3,62005,2,4,2,1.5625,295.44,3.2
125.56,74437,5,8,1,1.5147,62.78,12.67
129.96,47236,37,12,4,0.3385,142.96,6.79
287.99,85092,36,4,4,0.1637,316.79,3.13
306.87,60794,42,4,1,1.8234,153.44,5.79
39.65,45049,16,6,3,0.9453,51.55,16.13
431.42,47610,49,12,2,0.9046,345.14,2.82
371.96,98279,7,4,2,1.3116,297.57,3.21
382.52,10921,8,6,2,1.4408,306.02,3.11
63.29,69051,12,2,1,1.8762,31.64,19.45
274.32,17719,46,12,1,1.3151,137.16,6.61
154.9,45514,32,12,1,1.0943,77.45,11.19
379.17,17875,24,6,1,0.9178,189.59,5.01
146.53,30315,2,12,4,0.6151,161.18,5.94
189.24,34479,7,8,1,1.3321,94.62,9.18
266.02,35245,28,4,1,1.2832,133.01,6.81
93.98,2552,11,2,3,0.933,122.17,7.55
4.2,11832,11,2,3,0.981,5.46,61.46
395.73,43296,7,4,2,2.4883,316.58,2.92
414.14,15995,47,4,4,0.1862,455.55,2.18
333.04,27331,32,8,4,0.8053,366.34,2.66
126.73,83702,21,4,1,0.1286,63.37,15.23
397.22,76647,9,8,2,1.2399,317.78,3.02
44.83,20679,33,2,3,0.7755,58.28,14.92
77.04,70310,8,4,4,1.1131,84.74,10.32
10.77,49524,24,16,3,1.4244,14.0,34.2
94.97,24471,36,6,4,0.2825,104.47,9.23
265.62,58911,20,6,4,0.9486,292.18,3.3
182.1,81300,17,6,1,1.1478,91.05,9.66
306.56,42293,28,16,1,0.1594,153.28,6.42
53.62,25125,8,2,1,0.5863,26.81,29.7
183.24,79433,47,2,1,1.3139,91.62,9.46
180.53,97459,28,6,4,0.163,198.58,4.97
108.03,68099,8,2,4,0.3094,118.83,8.14
374.62,54429,49,2,1,1.6057,187.31,4.89
275.03,66161,23,16,4,0.5207,302.53,3.24
185.92,83010,29,16,4,0.572,204.51,4.73
226.26,52057,2,16,2,2.9563,181.01,4.73
107.49,41285,3,16,1,0.9747,53.74,15.51
78.14,34742,25,12,3,0.5131,101.58,9.28
38.69,42568,32,4,3,1.3203,50.3,15.5
18.78,75544,26,2,4,0.2248,20.66,41.83
385.22,98009,43,12,1,1.1733,192.61,4.87
163.48,91467,16,4,4,0.372,179.83,5.42
144.96,51694,11,4,1,0.9255,72.48,12.09
348.97,99891,10,8,2,0.8895,279.18,3.46
35.91,56379,22,16,1,1.2284,17.95,32.02
12.2,39963,12,6,3,1.6545,15.86,29.94
99.92,49007,11,16,3,1.7506,129.9,6.74
410.08,1810,23,16,1,1.1382,205.04,4.6
375.2,71942,32,12,1,0.1826,187.6,5.25
85.24,37236,14,16,4,0.4434,93.76,10.08
426.06,86530,25,2,4,0.1944,468.67,2.12
157.8,78273,36,2,1,1.1059,78.9,10.99
166.85,51573,49,4,4,0.45,183.53,5.29
31.1,33784,26,2,4,0.249,34.21,26.53
364.97,68261,45,12,1,1.2502,182.49,5.1
224.64,17281,15,16,2,1.6667,179.71,5.07
67.71,19035,43,12,3,0.7034,88.02,10.41
439.83,95309,3,6,2,2.8131,351.86,2.62
136.97,24642,8,4,1,0.5411,68.48,13.35
343.72,47099,7,16,2,1.2849,274.98,3.46
236.98,21477,14,4,2,2.9671,189.58,4.54
378.91,8678,13,8,2,0.3171,303.13,3.25
367.69,49866,48,6,4,0.1058,404.46,2.46
54.75,59896,4,4,1,0.1937,27.38,32.98
145.66,52181,21,6,1,1.6768,72.83,11.04
225.9,94728,34,2,1,0.1473,112.95,8.66
226.89,93416,14,8,2,0.4553,181.51,5.35
353.14,83119,25,2,1,0.8232,176.57,5.38
384.15,43944,38,16,4,1.1087,422.56,2.3
480.49,37861,42,4,4,1.2903,528.54,1.84
271.8,763,40,8,4,0.4048,298.98,3.29
273.72,81243,42,12,1,0.1616,136.86,7.17
289.09,79083,21,6,4,1.0527,318.0,3.03
297.52,73695,13,8,2,2.4967,238.02,3.79
379.25,72161,6,6,2,0.7853,303.4,3.2
29.19,74900,48,16,1,0.9114,14.6,40.46
423.91,34044,35,12,4,0.7641,466.3,2.11
90.04,79886,16,16,4,0.3506,99.04,9.66
307.69,54356,28,2,1,1.6014,153.84,5.85
153.96,66422,37,6,4,1.2565,169.36,5.47
97.09,44304,45,8,1,1.7949,48.55,14.82
268.53,43933,31,8,4,0.0771,295.38,3.37
288.74,43489,24,2,4,0.8779,317.61,3.05
194.84,78022,9,6,2,1.4653,155.87,5.83
475.37,28339,35,6,4,1.2086,522.91,1.87
452.49,20205,14,6,2,2.502,361.99,2.58
469.02,88708,10,4,2,2.1237,375.22,2.52
297.18,11423,23,8,1,1.3138,148.59,6.15
105.0,26297,14,6,1,0.129,52.5,18.25
311.51,67388,8,4,2,0.6796,249.21,3.89
155.76,44409,36,8,1,0.8446,77.88,11.45
352.37,77703,42,16,4,0.8236,387.61,2.52
486.84,99066,50,8,1,1.3244,243.42,3.88
383.27,61685,16,4,4,0.529,421.6,2.34
430.41,42577,31,8,4,0.9264,473.45,2.07
63.78,13501,27,16,3,0.8616,82.91,10.81
206.78,81389,17,12,4,1.4713,227.46,4.11
283.65,44862,36,16,4,0.9086,312.01,3.1
231.51,72766,8,8,2,1.261,185.21,5.03
247.2,86539,5,2,2,2.0505,197.76,4.56
226.54,38217,26,12,4,0.4916,249.19,3.92
471.67,56990,47,6,4,0.1405,518.84,1.92
450.55,6973,2,16,2,1.8525,360.44,2.63
312.64,93303,26,8,1,1.8565,156.32,5.69
